ref_name,ref_slug,ref_country,ref_region,match_confidence,best_score,master_name,master_uuid
Aberlour,aberlour,Scotland,Speyside,high_confidence,100,,
Amrut,amrut,India,Bangalore,high_confidence,100,,
Auchentoshan,auchentoshan,Scotland,Lowland,high_confidence,100,,
Bowmore,bowmore,Scotland,Islay,high_confidence,100,,
Breckenridge,breckenridge,United States,Colorado,high_confidence,100,,
Buffalo Trace,buffalo-trace,United States,Kentucky,high_confidence,100,,
Bushmills,bushmills,Ireland,Ulster,high_confidence,100,,
Chichibu,chichibu,Japan,Honshu,high_confidence,100,,
Deanston,deanston,Scotland,Highland,high_confidence,100,,
Four Roses,four-roses,United States,Kentucky,high_confidence,100,,
Glenfiddich,glenfiddich,Scotland,Speyside,high_confidence,100,,
Glengoyne,glengoyne,Scotland,Highland,high_confidence,100,,
Glen Grant,glen-grant,Scotland,Speyside,high_confidence,100,,
Glenmorangie,glenmorangie,Scotland,Highland,high_confidence,100,,
Glen Scotia,glen-scotia,Scotland,Campbeltown,high_confidence,100,,
Hakushu,hakushu,Japan,Honshu,high_confidence,100,,
Hellyers Road,hellyers-road,Australia,Tasmania,high_confidence,100,,
Jack Daniel's,jack-daniels,United States,Tennessee,high_confidence,100,,
Jim Beam,jim-beam,United States,Kentucky,high_confidence,100,,
